"국가(대륙)별","상품군별","판매유형별",2014 1/4,2014 2/4,2014 3/4,2014 4/4,2015 1/4,2015 2/4,2015 3/4,2015 4/4,2016 1/4,2016 2/4,2016 3/4,2016 4/4,2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4 p)
"기타","화장품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,2093,1976,17232,1884,2598,2415,2089,3381,3998,4168,3200,4802,3050
"기타","아동·유아용품","계",582,460,489,568,447,511,538,417,322,212,133,170,175,126,128,171,169,132,738,524,229,186,95,193,147
"기타","아동·유아용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,11,4,0,4,4,6,2
"기타","아동·유아용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,175,126,128,171,169,132,727,520,229,182,91,187,145
"기타","음·식료품","계",1216,1045,758,1291,1102,1010,877,214,191,169,207,238,330,251,1054,1659,1989,1721,1450,150,335,322,184,319,127
"기타","음·식료품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,303,228,845,1627,1935,1679,1398,66,84,73,59,142,36
"기타","음·식료품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,27,23,209,32,54,42,52,84,251,249,125,177,91
"기타","농축수산물","계",980,1019,702,819,673,833,790,0,1,0,0,1,1,0,0,1,3,0,0,0,0,0,0,2,2
"기타","농축수산물","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"기타","농축수산물","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1,3,0,0,0,0,0,0,2,2
"기타","생활용품 및 자동차용품","계",1265,1171,1096,877,741,817,738,940,940,797,608,604,656,596,567,634,665,469,504,589,465,488,308,531,384
"기타","생활용품 및 자동차용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"기타","생활용품 및 자동차용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,656,596,567,634,665,469,504,589,465,488,308,531,384
"기타","기 타","계",765,735,849,804,788,805,724,838,852,588,589,714,883,746,814,1101,1067,1063,1120,770,711,689,469,1094,916
"기타","기 타","면세점",-,-,-,-,-,-,-,-,-,-,-,-,2,0,82,266,272,316,404,0,0,1,0,1,0
"기타","기 타","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,881,746,732,835,795,747,716,770,711,688,469,1093,916
